iter	Logloss
0	0.6829000133
1	0.6729531941
2	0.6637235241
3	0.654696954
4	0.6462396627
5	0.6378818113
6	0.6297464868
7	0.6222276674
8	0.6148674395
9	0.6076513518
10	0.6009791627
11	0.5943338285
12	0.5882680295
13	0.5821663902
14	0.5767374819
15	0.571268073
16	0.5662359634
17	0.5614419544
18	0.5566968584
19	0.5520216008
20	0.5476276478
21	0.5434925579
22	0.5395602018
23	0.5356419487
24	0.5319355374
25	0.5284010237
26	0.5251239746
27	0.521761322
28	0.5186188888
29	0.5155038296
30	0.5125059092
31	0.5096451058
32	0.5070180566
33	0.5044554296
34	0.5020036771
35	0.4996324631
36	0.4973570398
37	0.4950678111
38	0.4928523155
39	0.4908992378
40	0.4889666591
41	0.4871182587
42	0.4854696061
43	0.4836729763
44	0.4821602512
45	0.4806698942
46	0.4791778928
47	0.4776795783
48	0.4763077921
49	0.4749297353
50	0.473595078
51	0.4724382693
52	0.471294319
53	0.4700614431
54	0.468839815
55	0.4678206447
56	0.4668339128
57	0.4657952467
58	0.4648036308
59	0.4639022606
60	0.462981152
61	0.4621156232
62	0.4612876208
63	0.4605144033
64	0.4597217608
65	0.4590222282
66	0.4583016161
67	0.457667899
68	0.4570216712
69	0.4563741737
70	0.4557360125
71	0.455150336
72	0.4546424718
73	0.4541070593
74	0.4535747456
75	0.4530751315
76	0.4525594299
77	0.4521130298
78	0.4516526637
79	0.4512595305
80	0.450810957
81	0.4504275447
82	0.4500413351
83	0.4496353662
84	0.4492864188
85	0.4489624935
86	0.4485833374
87	0.4482861237
88	0.4479190361
89	0.4476522856
90	0.4473418622
91	0.4470731054
92	0.4467788956
93	0.4464912374
94	0.4462578998
95	0.4460163098
96	0.4457836284
97	0.4455609378
98	0.4452771425
99	0.4450149182
100	0.4448055409
101	0.4445915741
102	0.444357723
103	0.4441893687
104	0.4440292372
105	0.4438684125
106	0.4436405719
107	0.4434703707
108	0.4433168509
109	0.443158033
110	0.4430041363
111	0.4428333159
112	0.442674542
113	0.4425389437
114	0.4424125939
115	0.4422870977
116	0.4421710151
117	0.442076493
118	0.4419763376
119	0.4418543579
120	0.4417420266
121	0.4416307124
122	0.4415006185
123	0.4413787272
124	0.4412445803
125	0.4411029874
126	0.4409741125
127	0.4408841383
128	0.4407807636
129	0.4407082864
130	0.4405853379
131	0.4404902404
132	0.4403819287
133	0.4403031158
134	0.4402327771
135	0.4401764689
136	0.4401109815
137	0.4400395513
138	0.439969742
139	0.4398724076
140	0.4398035703
141	0.4397025823
142	0.4395989192
143	0.4395503491
144	0.4395126196
145	0.4394452665
146	0.4394208894
147	0.439354028
148	0.4393034327
149	0.4392639835
150	0.4391886489
151	0.4391472183
152	0.4391146244
153	0.4390555933
154	0.4390104998
155	0.4389306623
156	0.4388864409
157	0.4388314631
158	0.4387419269
159	0.4387151305
160	0.4386645236
161	0.4386367047
162	0.4385690995
163	0.4384515203
164	0.4383970037
165	0.4383627277
166	0.4383096556
167	0.4382391363
168	0.4382030036
169	0.4381443838
170	0.4381098339
171	0.4380429122
172	0.4380043745
173	0.4379788552
174	0.4379367262
175	0.4378878517
176	0.4378276759
177	0.4377940128
178	0.4377674691
179	0.4377342517
180	0.4377186753
181	0.4377012412
182	0.4376703009
183	0.4376099863
184	0.4375709369
185	0.437501184
186	0.4374933466
187	0.4374439767
188	0.4374076792
189	0.4373477074
190	0.4373064724
191	0.4372414594
192	0.4372283958
193	0.437169448
194	0.4371550335
195	0.4371263081
196	0.4370430143
197	0.4370272521
198	0.4370043332
199	0.4369942789
200	0.4369740955
201	0.4369457913
202	0.4369231264
203	0.4369116788
204	0.4368574633
205	0.4367907368
206	0.436733681
207	0.4366488435
208	0.436636836
209	0.4366079785
210	0.4365902631
211	0.4365684991
212	0.4365522346
213	0.4365249059
214	0.43649904
215	0.4364181017
216	0.4363721707
217	0.4363308642
218	0.4363138012
219	0.4362728134
220	0.4362547837
221	0.4362267392
222	0.4361545658
223	0.4361299935
224	0.4361142117
225	0.4360274753
226	0.4360061126
227	0.4359601269
228	0.4359406908
229	0.4358979174
230	0.4358798899
231	0.4358374719
232	0.4358127185
233	0.4357942996
234	0.4356923229
235	0.4356431698
236	0.4356338997
237	0.4356254813
238	0.435614516
239	0.4355913799
240	0.4355186655
241	0.4355080897
242	0.4354705373
243	0.4354441443
244	0.4354189551
245	0.4354017557
246	0.4353595826
247	0.4353408855
248	0.4353197924
249	0.4352932032
250	0.4352827344
251	0.4352751067
252	0.4352548301
253	0.4352401624
254	0.4352015232
255	0.4351730281
256	0.4351554155
257	0.4351077953
258	0.4350912825
259	0.4350523172
260	0.4350328725
261	0.4349830506
262	0.434949717
263	0.4349122395
264	0.4348916653
265	0.4348601517
266	0.43484302
267	0.434826168
268	0.4347940415
269	0.434761704
270	0.4347491812
271	0.4346986798
272	0.4346793267
273	0.4346606005
274	0.4346407324
275	0.4345887458
276	0.4345668102
277	0.4345342353
278	0.4345252522
279	0.4345118065
280	0.43447466
281	0.4344529935
282	0.4344441732
283	0.4343939574
284	0.4343683025
285	0.4343571069
286	0.4343545399
287	0.4343447346
288	0.434312908
289	0.4342627918
290	0.434256276
291	0.4342339086
292	0.4342195815
293	0.4341990846
294	0.4341651888
295	0.4341451756
296	0.4341405617
297	0.4341338093
298	0.4341077873
299	0.434071682
300	0.4340578754
301	0.4340437996
302	0.4340141886
303	0.433988864
304	0.4339678356
305	0.4339610338
306	0.4339272982
307	0.4338925029
308	0.433882952
309	0.4338766562
310	0.4338715316
311	0.4338473513
312	0.4338321178
313	0.4338151198
314	0.4338072621
315	0.4337810558
316	0.4337509298
317	0.4337279553
318	0.4336942778
319	0.4336854476
320	0.4336594263
321	0.4336390152
322	0.43360702
323	0.4335738335
324	0.4335501784
325	0.4335456516
326	0.4334921088
327	0.4334631085
328	0.433430179
329	0.4334108726
330	0.4333687897
331	0.4333427976
332	0.4333224558
333	0.4333049347
334	0.4332905091
335	0.4332879617
336	0.4332521727
337	0.4332159859
338	0.4331996801
339	0.4331650658
340	0.4331164367
341	0.4331098224
342	0.4330881103
343	0.4330583293
344	0.4330453146
345	0.4330229561
346	0.4329890419
347	0.4329748282
348	0.4329687668
349	0.4329406361
350	0.4329172275
351	0.4329020191
352	0.4328966338
353	0.4328861921
354	0.4328674752
355	0.4328459681
356	0.4328452118
357	0.4328162801
358	0.4328103423
359	0.4327748399
360	0.4327597122
361	0.4327241486
362	0.4326957133
363	0.4326791174
364	0.432653361
365	0.4326094834
366	0.4325736471
367	0.4325422075
368	0.4325233463
369	0.4325166273
370	0.4325053437
371	0.4324929368
372	0.4324918294
373	0.4324831552
374	0.4324567203
375	0.4324307737
376	0.4324273483
377	0.4323827714
378	0.4323388247
379	0.4322977555
380	0.4322841472
381	0.4322454716
382	0.4322193994
383	0.432173403
384	0.4321588339
385	0.4321549309
386	0.4321504208
387	0.4321198779
388	0.4321131822
389	0.4321019822
390	0.432072385
391	0.4320225942
392	0.4320013309
393	0.431979461
394	0.4319772082
395	0.4319596503
396	0.4319514285
397	0.4319172122
398	0.4318942983
399	0.4318787264
400	0.4318366125
401	0.4318275999
402	0.4317781847
403	0.4317672101
404	0.4317489724
405	0.4317317548
406	0.431681971
407	0.4316177418
408	0.4315960063
409	0.4315486034
410	0.4314988235
411	0.4314709456
412	0.4314583075
413	0.4314103246
414	0.4314095484
415	0.4313934528
416	0.4313840143
417	0.4313674764
418	0.4313548745
419	0.4313417371
420	0.4313009391
421	0.4312943044
422	0.4312612368
423	0.4312489376
424	0.4312368409
425	0.4312207642
426	0.4311792224
427	0.4311429164
428	0.4311193185
429	0.4310730879
430	0.4310355517
431	0.4310277111
432	0.4309938295
433	0.4309823183
434	0.430945738
435	0.4308882599
436	0.4308727603
437	0.4308508315
438	0.4308380996
439	0.4308334704
440	0.4308124603
441	0.4308050757
442	0.4307733004
443	0.4307461368
444	0.4307137162
445	0.4306827673
446	0.4306351012
447	0.4305948645
448	0.4305488112
449	0.4305220767
450	0.4304977523
451	0.4304746761
452	0.4304578303
453	0.4304399725
454	0.4304274285
455	0.4303855546
456	0.4303719514
457	0.4303295468
458	0.4302879846
459	0.4302616342
460	0.4302474958
461	0.430237307
462	0.4301879103
463	0.430163046
464	0.4301379996
465	0.4301037502
466	0.4300552588
467	0.4300086547
468	0.4299909611
469	0.4299793666
470	0.4299682333
471	0.4299262904
472	0.429913731
473	0.4298606304
474	0.4298294294
475	0.4298080989
476	0.4297932742
477	0.4297666894
478	0.4297546018
479	0.4296988204
480	0.429663661
481	0.429638353
482	0.4296202817
483	0.4295977687
484	0.4295582562
485	0.4295269215
486	0.4294897374
487	0.429464228
488	0.4294419969
489	0.4294216913
490	0.4294020121
491	0.4293773708
492	0.4293637388
493	0.429346178
494	0.4292778504
495	0.429262589
496	0.4292414066
497	0.429196304
498	0.4291717825
499	0.4291277796
500	0.4291008557
501	0.4290928859
502	0.4290658868
503	0.4290207665
504	0.4289967432
505	0.4289588192
506	0.4289319986
507	0.4289129611
508	0.428894544
509	0.4288749382
510	0.428848159
511	0.4288164971
512	0.42877056
513	0.4287421098
514	0.4287147912
515	0.4286718067
516	0.4286082141
517	0.4285778409
518	0.4285318864
519	0.4284892337
520	0.4284394551
521	0.4283891995
522	0.4283615772
523	0.4283496513
524	0.4283246346
525	0.4282776514
526	0.4282437878
527	0.4282066428
528	0.428172081
529	0.4281395527
530	0.4281012838
