mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_scaler,param_svm__C,param_svm__gamma,param_svm__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.01723647117614746,0.0044853034174649475,0.010311412811279296,0.00302597311121107,1,StandardScaler(),0.027825594022071243,auto,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.027825594022071243), 'svm__gamma': 'auto', 'svm__kernel': 'rbf'}",0.8142857142857143,0.8571428571428571,0.8571428571428571,0.8405797101449275,0.8695652173913043,0.8477432712215321,0.01909778253637272,1109
0.015654611587524413,0.007821542053153444,0.004759359359741211,0.000313781908457624,1,StandardScaler(),0.027825594022071243,0.01,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.027825594022071243), 'svm__gamma': 0.01, 'svm__kernel': 'linear'}",0.8142857142857143,0.8285714285714286,0.8571428571428571,0.8260869565217391,0.8985507246376812,0.844927536231884,0.030285545573943924,1202
0.016360378265380858,0.006612663531094755,0.009717893600463868,0.004304810380400647,1,StandardScaler(),0.027825594022071243,0.01,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.027825594022071243), 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.6,0.6,0.6,0.5942028985507246,0.5942028985507246,0.5976811594202898,0.002839988107574701,1485
0.00899190902709961,0.0017806635567146044,0.008640909194946289,0.0019083725005093566,1,StandardScaler(),0.027825594022071243,0.1,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.027825594022071243), 'svm__gamma': 0.1, 'svm__kernel': 'linear'}",0.8142857142857143,0.8285714285714286,0.8571428571428571,0.8260869565217391,0.8985507246376812,0.844927536231884,0.030285545573943924,1202
0.013068151473999024,0.004169247067880365,0.006398773193359375,0.001290649672209272,1,StandardScaler(),0.027825594022071243,0.1,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.027825594022071243), 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.8142857142857143,0.8428571428571429,0.8571428571428571,0.8115942028985508,0.8985507246376812,0.8448861283643894,0.03187152559486999,1221
0.007682418823242188,0.0005792131087914279,0.006177473068237305,0.0004068071709079928,1,StandardScaler(),0.027825594022071243,0.5,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.027825594022071243), 'svm__gamma': 0.5, 'svm__kernel': 'linear'}",0.8142857142857143,0.8285714285714286,0.8571428571428571,0.8260869565217391,0.8985507246376812,0.844927536231884,0.030285545573943924,1202
0.009224653244018555,0.0009293251976995211,0.006607866287231446,0.00029291826020476656,1,StandardScaler(),0.027825594022071243,0.5,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.027825594022071243), 'svm__gamma': 0.5, 'svm__kernel': 'rbf'}",0.8142857142857143,0.8571428571428571,0.8571428571428571,0.8260869565217391,0.8985507246376812,0.8506418219461697,0.029341090145365668,980
0.0058139324188232425,0.0007998916623089435,0.0048520565032958984,0.0024164951422150607,1,StandardScaler(),0.027825594022071243,1,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.027825594022071243), 'svm__gamma': 1, 'svm__kernel': 'linear'}",0.8142857142857143,0.8285714285714286,0.8571428571428571,0.8260869565217391,0.8985507246376812,0.844927536231884,0.030285545573943924,1202
0.010618877410888673,0.0015226774560791103,0.00513310432434082,0.0012801495637237126,1,StandardScaler(),0.027825594022071243,1,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.027825594022071243), 'svm__gamma': 1, 'svm__kernel': 'rbf'}",0.8142857142857143,0.8571428571428571,0.8571428571428571,0.8405797101449275,0.8695652173913043,0.8477432712215321,0.01909778253637272,1109
0.0088958740234375,0.0034564083256552612,0.0041768550872802734,0.0014440208468996113,1,StandardScaler(),0.027825594022071243,5,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.027825594022071243), 'svm__gamma': 5, 'svm__kernel': 'linear'}",0.8142857142857143,0.8285714285714286,0.8571428571428571,0.8260869565217391,0.8985507246376812,0.844927536231884,0.030285545573943924,1202
0.012799310684204101,0.0022817020074568763,0.008900928497314452,0.0029769158618438395,1,StandardScaler(),0.027825594022071243,5,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.027825594022071243), 'svm__gamma': 5, 'svm__kernel': 'rbf'}",0.7571428571428571,0.7714285714285715,0.7285714285714285,0.8115942028985508,0.7246376811594203,0.7586749482401657,0.03171815621354225,1400
0.010357379913330078,0.0015911702088401067,0.005792236328125,0.0013930014368421304,1,StandardScaler(),0.0774263682681127,scale,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.0774263682681127), 'svm__gamma': 'scale', 'svm__kernel': 'linear'}",0.8,0.8428571428571429,0.8571428571428571,0.8260869565217391,0.9130434782608695,0.8478260869565217,0.03774844401123157,1063
0.01470789909362793,0.0017321781209755555,0.008173561096191407,0.0038426524200361216,1,StandardScaler(),0.0774263682681127,scale,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.0774263682681127), 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.8142857142857143,0.8285714285714286,0.8571428571428571,0.8260869565217391,0.8985507246376812,0.844927536231884,0.030285545573943924,1202
0.011860179901123046,0.0025465213825762024,0.004938459396362305,0.0016617775483316116,1,StandardScaler(),0.0774263682681127,auto,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.0774263682681127), 'svm__gamma': 'auto', 'svm__kernel': 'linear'}",0.8,0.8428571428571429,0.8571428571428571,0.8260869565217391,0.9130434782608695,0.8478260869565217,0.03774844401123157,1063
0.008950138092041015,0.001131432026662171,0.008037185668945313,0.002100438019264856,1,StandardScaler(),0.0774263682681127,auto,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.0774263682681127), 'svm__gamma': 'auto', 'svm__kernel': 'rbf'}",0.8142857142857143,0.8285714285714286,0.8571428571428571,0.8115942028985508,0.9130434782608695,0.844927536231884,0.037700265899716014,1202
0.008484888076782226,0.0012333891484462877,0.007865381240844727,0.0017588609781167659,1,StandardScaler(),0.0774263682681127,0.01,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.0774263682681127), 'svm__gamma': 0.01, 'svm__kernel': 'linear'}",0.8,0.8428571428571429,0.8571428571428571,0.8260869565217391,0.9130434782608695,0.8478260869565217,0.03774844401123157,1063
0.01255936622619629,0.0037347497085834873,0.00812997817993164,0.0012474137034018294,1,StandardScaler(),0.0774263682681127,0.01,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.0774263682681127), 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.6,0.6,0.6142857142857143,0.6086956521739131,0.5942028985507246,0.6034368530020704,0.007130814705301646,1477
0.01667170524597168,0.009723033200877225,0.012446117401123048,0.005202046792787789,1,StandardScaler(),0.0774263682681127,0.1,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.0774263682681127), 'svm__gamma': 0.1, 'svm__kernel': 'linear'}",0.8,0.8428571428571429,0.8571428571428571,0.8260869565217391,0.9130434782608695,0.8478260869565217,0.03774844401123157,1063
0.011615753173828125,0.002291603544514684,0.006704807281494141,0.0022037921505902724,1,StandardScaler(),0.0774263682681127,0.1,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.0774263682681127), 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.8142857142857143,0.8428571428571429,0.8571428571428571,0.8260869565217391,0.8985507246376812,0.8477846790890269,0.02926437868109393,1072
0.011017942428588867,0.0015601661612677027,0.00488123893737793,0.0006648486923820519,1,StandardScaler(),0.0774263682681127,0.5,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.0774263682681127), 'svm__gamma': 0.5, 'svm__kernel': 'linear'}",0.8,0.8428571428571429,0.8571428571428571,0.8260869565217391,0.9130434782608695,0.8478260869565217,0.03774844401123157,1063
0.010840654373168945,0.002790739422790617,0.008772754669189453,0.005748209532893777,1,StandardScaler(),0.0774263682681127,0.5,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.0774263682681127), 'svm__gamma': 0.5, 'svm__kernel': 'rbf'}",0.8142857142857143,0.8428571428571429,0.8571428571428571,0.8115942028985508,0.8985507246376812,0.8448861283643894,0.03187152559486999,1221
0.010699939727783204,0.0027718302116867635,0.005810880661010742,0.0008552103957143056,1,StandardScaler(),0.0774263682681127,1,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.0774263682681127), 'svm__gamma': 1, 'svm__kernel': 'linear'}",0.8,0.8428571428571429,0.8571428571428571,0.8260869565217391,0.9130434782608695,0.8478260869565217,0.03774844401123157,1063
0.01215829849243164,0.002193407538233634,0.005462932586669922,0.001346211664455921,1,StandardScaler(),0.0774263682681127,1,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.0774263682681127), 'svm__gamma': 1, 'svm__kernel': 'rbf'}",0.8142857142857143,0.8285714285714286,0.8571428571428571,0.8115942028985508,0.9130434782608695,0.844927536231884,0.037700265899716014,1202
0.01603860855102539,0.007947547580005309,0.010063648223876953,0.0070871989097337305,1,StandardScaler(),0.0774263682681127,5,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.0774263682681127), 'svm__gamma': 5, 'svm__kernel': 'linear'}",0.8,0.8428571428571429,0.8571428571428571,0.8260869565217391,0.9130434782608695,0.8478260869565217,0.03774844401123157,1063
0.013482284545898438,0.0011029175479018007,0.006582736968994141,0.0017431837087042196,1,StandardScaler(),0.0774263682681127,5,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.0774263682681127), 'svm__gamma': 5, 'svm__kernel': 'rbf'}",0.8142857142857143,0.8428571428571429,0.8571428571428571,0.8405797101449275,0.8695652173913043,0.8448861283643894,0.01853824262115058,1221
0.012140274047851562,0.003143781008598937,0.005692243576049805,0.0014648521551621219,1,StandardScaler(),0.21544346900318834,scale,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.21544346900318834), 'svm__gamma': 'scale', 'svm__kernel': 'linear'}",0.8428571428571429,0.8571428571428571,0.8857142857142857,0.8840579710144928,0.9710144927536232,0.8881573498964803,0.04450188110818861,594
0.018550395965576172,0.008387885324794373,0.00875539779663086,0.0026140455970623203,1,StandardScaler(),0.21544346900318834,scale,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.21544346900318834), 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.8142857142857143,0.8285714285714286,0.8571428571428571,0.8260869565217391,0.927536231884058,0.8507246376811594,0.04090669796021455,968
0.014189386367797851,0.006663749456816453,0.009081649780273437,0.004208636011518456,1,StandardScaler(),0.21544346900318834,auto,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.21544346900318834), 'svm__gamma': 'auto', 'svm__kernel': 'linear'}",0.8428571428571429,0.8571428571428571,0.8857142857142857,0.8840579710144928,0.9710144927536232,0.8881573498964803,0.04450188110818861,594
0.023825597763061524,0.008495400790715113,0.013941287994384766,0.006013183309898905,1,StandardScaler(),0.21544346900318834,auto,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.21544346900318834), 'svm__gamma': 'auto', 'svm__kernel': 'rbf'}",0.8428571428571429,0.8571428571428571,0.8714285714285714,0.855072463768116,0.927536231884058,0.870807453416149,0.02977942593445048,820
0.012697076797485352,0.008975593658878442,0.0075514793395996095,0.0038885892684035264,1,StandardScaler(),0.21544346900318834,0.01,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.21544346900318834), 'svm__gamma': 0.01, 'svm__kernel': 'linear'}",0.8428571428571429,0.8571428571428571,0.8857142857142857,0.8840579710144928,0.9710144927536232,0.8881573498964803,0.04450188110818861,594
0.008569288253784179,0.00016450656668184633,0.0076940059661865234,0.0005834762117395788,1,StandardScaler(),0.21544346900318834,0.01,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.21544346900318834), 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.8,0.8571428571428571,0.8571428571428571,0.8405797101449275,0.8840579710144928,0.847784679089027,0.027662934888442927,1070
0.008618593215942383,0.0018048329397374657,0.005408668518066406,0.0025761126020008704,1,StandardScaler(),0.21544346900318834,0.1,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.21544346900318834), 'svm__gamma': 0.1, 'svm__kernel': 'linear'}",0.8428571428571429,0.8571428571428571,0.8857142857142857,0.8840579710144928,0.9710144927536232,0.8881573498964803,0.04450188110818861,594
0.012509918212890625,0.0049502619349317215,0.008179235458374023,0.0018740160247264364,1,StandardScaler(),0.21544346900318834,0.1,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.21544346900318834), 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.8,0.8285714285714286,0.8571428571428571,0.8260869565217391,0.8985507246376812,0.8420703933747411,0.033540474912299736,1280
0.014886856079101562,0.010264808847779541,0.00693807601928711,0.003769493296652709,1,StandardScaler(),0.21544346900318834,0.5,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.21544346900318834), 'svm__gamma': 0.5, 'svm__kernel': 'linear'}",0.8428571428571429,0.8571428571428571,0.8857142857142857,0.8840579710144928,0.9710144927536232,0.8881573498964803,0.04450188110818861,594
0.015102052688598632,0.00388486039261371,0.006815576553344726,0.0018739205795538334,1,StandardScaler(),0.21544346900318834,0.5,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.21544346900318834), 'svm__gamma': 0.5, 'svm__kernel': 'rbf'}",0.8428571428571429,0.8428571428571429,0.8714285714285714,0.8260869565217391,0.9420289855072463,0.8650517598343684,0.041157295686486794,846
0.01751708984375,0.004454450424674017,0.009814310073852538,0.002646949623103871,1,StandardScaler(),0.21544346900318834,1,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.21544346900318834), 'svm__gamma': 1, 'svm__kernel': 'linear'}",0.8428571428571429,0.8571428571428571,0.8857142857142857,0.8840579710144928,0.9710144927536232,0.8881573498964803,0.04450188110818861,594
0.015626859664916993,0.0018646545437412002,0.009473419189453125,0.002416838863422846,1,StandardScaler(),0.21544346900318834,1,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.21544346900318834), 'svm__gamma': 1, 'svm__kernel': 'rbf'}",0.8428571428571429,0.8571428571428571,0.8714285714285714,0.855072463768116,0.927536231884058,0.870807453416149,0.02977942593445048,820
0.010705947875976562,0.0023335807501761734,0.01066126823425293,0.0023911275067090895,1,StandardScaler(),0.21544346900318834,5,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.21544346900318834), 'svm__gamma': 5, 'svm__kernel': 'linear'}",0.8428571428571429,0.8571428571428571,0.8857142857142857,0.8840579710144928,0.9710144927536232,0.8881573498964803,0.04450188110818861,594
0.022889041900634767,0.007515022180396937,0.008534526824951172,0.0022692575682919476,1,StandardScaler(),0.21544346900318834,5,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.21544346900318834), 'svm__gamma': 5, 'svm__kernel': 'rbf'}",0.8571428571428571,0.8571428571428571,0.8714285714285714,0.855072463768116,0.9130434782608695,0.8707660455486541,0.021933040332154524,823
0.010427618026733398,0.0017227882998023113,0.005414819717407227,0.0013151843051626155,1,StandardScaler(),0.5994842503189409,scale,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.5994842503189409), 'svm__gamma': 'scale', 'svm__kernel': 'linear'}",0.8571428571428571,0.8714285714285714,0.8571428571428571,0.8695652173913043,0.9565217391304348,0.882360248447205,0.03756321267121109,657
0.012784957885742188,0.005369838451409336,0.00881338119506836,0.00636706530806301,1,StandardScaler(),0.5994842503189409,scale,rbf,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.5994842503189409), 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.8428571428571429,0.8857142857142857,0.8857142857142857,0.8840579710144928,0.9565217391304348,0.8909730848861284,0.03664668794828139,569
0.01247706413269043,0.005410698172190489,0.006100320816040039,0.0014516293749839199,1,StandardScaler(),0.5994842503189409,auto,linear,"{'pca__n_components': 1, 'scaler': StandardScaler(), 'svm__C': np.float64(0.5994842503189409), 'svm__gamma': 'auto', 'svm__kernel': 'linear'}",0.8571428571428571,0.8714285714285714,0.8571428571428571,0.8695652173913043,0.9565217391304348,0.882360248447205,0.03756321267121109,657
