mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_scaler,param_svm__C,param_svm__gamma,param_svm__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.08438220024108886,0.018463065078304336,0.023174238204956055,0.00858204114430344,3,StandardScaler(),0.01,scale,linear,"{'pca__n_components': 3, 'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 'scale', 'svm__kernel': 'linear'}",0.9216255442670537,0.9244186046511628,0.9186046511627907,0.9142441860465116,0.9084302325581395,0.9174646437371315,0.005638478795428926,1601
0.18870253562927247,0.0435761801397703,0.08305764198303223,0.024261938567118876,3,StandardScaler(),0.01,scale,rbf,"{'pca__n_components': 3, 'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.918722786647315,0.9215116279069767,0.9200581395348837,0.9156976744186046,0.9113372093023255,0.9174654875620212,0.003615379777330179,1599
0.08370413780212402,0.019494724748962904,0.01713671684265137,0.005068630076810994,3,StandardScaler(),0.01,auto,linear,"{'pca__n_components': 3, 'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 'auto', 'svm__kernel': 'linear'}",0.9216255442670537,0.9244186046511628,0.9186046511627907,0.9142441860465116,0.9084302325581395,0.9174646437371315,0.005638478795428926,1601
0.23892054557800294,0.02963610184037754,0.10260262489318847,0.029136147973070264,3,StandardScaler(),0.01,auto,rbf,"{'pca__n_components': 3, 'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 'auto', 'svm__kernel': 'rbf'}",0.9172714078374455,0.9084302325581395,0.9055232558139535,0.9069767441860465,0.8997093023255814,0.9075821885442332,0.00567782094525698,1747
0.06310176849365234,0.003979263382391171,0.014448165893554688,0.0008345415488987919,3,StandardScaler(),0.01,0.01,linear,"{'pca__n_components': 3, 'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 0.01, 'svm__kernel': 'linear'}",0.9216255442670537,0.9244186046511628,0.9186046511627907,0.9142441860465116,0.9084302325581395,0.9174646437371315,0.005638478795428926,1601
0.24801697731018066,0.02996512100911363,0.07932577133178711,0.004952599129402069,3,StandardScaler(),0.01,0.01,rbf,"{'pca__n_components': 3, 'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.865021770682148,0.8648255813953488,0.8677325581395349,0.876453488372093,0.8793604651162791,0.8706787727410807,0.006060706638990484,1781
0.07487897872924805,0.020220552129566527,0.016131782531738283,0.0021965832145211927,3,StandardScaler(),0.01,0.1,linear,"{'pca__n_components': 3, 'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 0.1, 'svm__kernel': 'linear'}",0.9216255442670537,0.9244186046511628,0.9186046511627907,0.9142441860465116,0.9084302325581395,0.9174646437371315,0.005638478795428926,1601
0.17175817489624023,0.018571417288249167,0.07366929054260254,0.019335944199759408,3,StandardScaler(),0.01,0.1,rbf,"{'pca__n_components': 3, 'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.918722786647315,0.9229651162790697,0.9200581395348837,0.9127906976744186,0.9127906976744186,0.9174654875620212,0.004056004986538284,1599
0.06792306900024414,0.012798286194929662,0.015180253982543945,0.0022048052116520962,3,StandardScaler(),0.01,0.5,linear,"{'pca__n_components': 3, 'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 0.5, 'svm__kernel': 'linear'}",0.9216255442670537,0.9244186046511628,0.9186046511627907,0.9142441860465116,0.9084302325581395,0.9174646437371315,0.005638478795428926,1601
0.23187627792358398,0.021340870988593913,0.08403158187866211,0.00801441637969217,3,StandardScaler(),0.01,0.5,rbf,"{'pca__n_components': 3, 'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 0.5, 'svm__kernel': 'rbf'}",0.8664731494920174,0.8575581395348837,0.8430232558139535,0.8648255813953488,0.8575581395348837,0.8578876531542174,0.008282669405274626,1787
0.09476895332336426,0.0253756179279353,0.02031679153442383,0.0042540449154992626,3,StandardScaler(),0.01,1,linear,"{'pca__n_components': 3, 'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 1, 'svm__kernel': 'linear'}",0.9216255442670537,0.9244186046511628,0.9186046511627907,0.9142441860465116,0.9084302325581395,0.9174646437371315,0.005638478795428926,1601
0.24085359573364257,0.018685539417879676,0.08812308311462402,0.011873162928069956,3,StandardScaler(),0.01,1,rbf,"{'pca__n_components': 3, 'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 1, 'svm__kernel': 'rbf'}",0.6894049346879536,0.690406976744186,0.6918604651162791,0.688953488372093,0.688953488372093,0.689915870658521,0.001107794898796794,1845
0.08028950691223144,0.012090343267505365,0.019860124588012694,0.0050290408772953234,3,StandardScaler(),0.01,5,linear,"{'pca__n_components': 3, 'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 5, 'svm__kernel': 'linear'}",0.9216255442670537,0.9244186046511628,0.9186046511627907,0.9142441860465116,0.9084302325581395,0.9174646437371315,0.005638478795428926,1601
