mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_scaler,param_svm__C,param_svm__gamma,param_svm__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.008627080917358398,0.0025872355068896537,0.002977418899536133,0.0002596300779013021,StandardScaler(),0.01,scale,linear,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 'scale', 'svm__kernel': 'linear'}",0.8142857142857143,0.8571428571428571,0.8571428571428571,0.8260869565217391,0.8985507246376812,0.8506418219461697,0.029341090145365668,156
0.011941862106323243,0.007556164193353525,0.006777334213256836,0.004732278839735471,StandardScaler(),0.01,scale,rbf,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.6,0.6,0.6,0.5942028985507246,0.5942028985507246,0.5976811594202898,0.002839988107574701,244
0.011452627182006837,0.00508485458031339,0.008712673187255859,0.00371320096517325,StandardScaler(),0.01,auto,linear,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 'auto', 'svm__kernel': 'linear'}",0.8142857142857143,0.8571428571428571,0.8571428571428571,0.8260869565217391,0.8985507246376812,0.8506418219461697,0.029341090145365668,156
0.01111917495727539,0.0036977171739358545,0.007463407516479492,0.004096745611909006,StandardScaler(),0.01,auto,rbf,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 'auto', 'svm__kernel': 'rbf'}",0.6,0.6,0.6,0.5942028985507246,0.5942028985507246,0.5976811594202898,0.002839988107574701,244
0.014531803131103516,0.003333889010446976,0.006026029586791992,0.003877665559032754,StandardScaler(),0.01,0.01,linear,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 0.01, 'svm__kernel': 'linear'}",0.8142857142857143,0.8571428571428571,0.8571428571428571,0.8260869565217391,0.8985507246376812,0.8506418219461697,0.029341090145365668,156
0.013432073593139648,0.006850461682833423,0.006092500686645508,0.0025988797257613773,StandardScaler(),0.01,0.01,rbf,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.6,0.6,0.6,0.5942028985507246,0.5942028985507246,0.5976811594202898,0.002839988107574701,244
0.009890031814575196,0.006291165783383797,0.0047051429748535155,0.001740228281457568,StandardScaler(),0.01,0.1,linear,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 0.1, 'svm__kernel': 'linear'}",0.8142857142857143,0.8571428571428571,0.8571428571428571,0.8260869565217391,0.8985507246376812,0.8506418219461697,0.029341090145365668,156
0.007627439498901367,0.001277589241814769,0.005167722702026367,0.0023642870112989293,StandardScaler(),0.01,0.1,rbf,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.6,0.6,0.6,0.5942028985507246,0.5942028985507246,0.5976811594202898,0.002839988107574701,244
0.01179800033569336,0.004216675922822725,0.006087112426757813,0.0029458976725837693,StandardScaler(),0.01,0.5,linear,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 0.5, 'svm__kernel': 'linear'}",0.8142857142857143,0.8571428571428571,0.8571428571428571,0.8260869565217391,0.8985507246376812,0.8506418219461697,0.029341090145365668,156
0.012735700607299805,0.006939820461225,0.006696128845214843,0.0031368762645661965,StandardScaler(),0.01,0.5,rbf,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 0.5, 'svm__kernel': 'rbf'}",0.6,0.6,0.6,0.5942028985507246,0.5942028985507246,0.5976811594202898,0.002839988107574701,244
0.005516338348388672,0.00019367822296170717,0.0031033992767333985,0.0005605433978006544,StandardScaler(),0.01,1,linear,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 1, 'svm__kernel': 'linear'}",0.8142857142857143,0.8571428571428571,0.8571428571428571,0.8260869565217391,0.8985507246376812,0.8506418219461697,0.029341090145365668,156
0.010563421249389648,0.0023483334267664488,0.003970479965209961,0.00043353395104886547,StandardScaler(),0.01,1,rbf,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 1, 'svm__kernel': 'rbf'}",0.6,0.6,0.6,0.5942028985507246,0.5942028985507246,0.5976811594202898,0.002839988107574701,244
0.005926322937011719,0.0013378064602271441,0.0034052848815917967,0.0005891022989093038,StandardScaler(),0.01,5,linear,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 5, 'svm__kernel': 'linear'}",0.8142857142857143,0.8571428571428571,0.8571428571428571,0.8260869565217391,0.8985507246376812,0.8506418219461697,0.029341090145365668,156
0.013570117950439452,0.003433236789028634,0.004891872406005859,0.0010558396964747672,StandardScaler(),0.01,5,rbf,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 5, 'svm__kernel': 'rbf'}",0.6,0.6,0.6,0.5942028985507246,0.5942028985507246,0.5976811594202898,0.002839988107574701,244
0.00783987045288086,0.0038199845966335245,0.0038043498992919923,0.0011314713841832408,StandardScaler(),0.027825594022071243,scale,linear,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.027825594022071243), 'svm__gamma': 'scale', 'svm__kernel': 'linear'}",0.8142857142857143,0.8571428571428571,0.8428571428571429,0.8115942028985508,0.8985507246376812,0.8448861283643894,0.03187152559486999,194
