Classification,GPA_1,GPA_2,GPA_3,GPA_4,GPA_5,GPA_6
,2.75,2.67,1.83,1.4,1.17,1.17
,2.0,1.33,1.67,2.2,1.83,2.17
,3.25,1.33,2.33,1.8,1.33,2.5
,2.0,1.33,2.17,2.2,1.83,3.17
,3.0,3.67,1.83,2.4,2.0,1.33
,3.25,2.67,2.83,3.0,2.33,3.17
,1.5,1.33,1.83,2.2,0.83,2.0
,1.25,0.67,1.83,1.6,1.5,2.0
,1.25,1.67,1.67,1.2,2.17,1.5
,2.5,2.33,1.5,2.0,1.0,2.17
,2.25,1.33,1.83,1.6,1.67,2.33
,2.5,1.67,2.0,2.0,1.33,2.17
,2.75,3.0,1.83,2.8,3.0,3.5
,2.5,1.67,2.5,2.4,1.33,2.33
,2.0,2.0,1.83,2.4,3.17,2.17
,1.75,2.0,2.17,2.6,1.0,1.67
,2.25,2.67,2.17,2.8,3.17,2.67
,1.25,2.0,1.67,3.0,2.33,1.67
,3.0,2.33,2.0,2.0,2.17,2.0
,1.75,2.0,2.0,2.0,2.0,2.17
,2.5,3.33,2.5,2.8,2.5,2.17
,2.5,1.67,2.67,2.4,3.17,2.17
,3.25,2.33,1.67,2.2,2.17,2.17
,2.75,2.33,1.67,1.6,2.0,1.83
,3.25,4.0,3.17,3.0,2.5,1.83
,3.0,2.33,3.0,3.6,3.83,3.33
,3.5,3.33,3.83,3.8,3.5,3.5
,2.25,1.33,1.83,3.0,2.33,2.17
,3.0,1.67,2.83,2.8,3.17,2.33
,2.75,2.0,2.33,2.4,1.67,2.17
,2.0,3.33,2.5,3.2,3.5,3.33
,3.0,3.33,3.0,3.0,3.0,3.67
,2.25,2.67,3.0,3.2,2.67,3.0
,1.75,2.33,2.33,3.0,2.67,2.33
,1.75,1.67,2.33,2.6,1.83,2.0
,2.0,1.33,1.67,1.6,2.33,1.17
,3.25,3.33,2.33,2.2,1.83,1.83
,2.5,3.0,2.33,3.0,2.67,2.17
,1.25,1.67,1.17,1.2,1.17,0.83
,2.0,1.33,2.0,3.0,2.83,2.5
,3.0,3.33,2.67,3.4,2.83,2.33
,3.0,3.0,2.33,3.0,2.5,2.83
,2.0,2.67,2.67,2.2,2.17,3.17
,3.0,3.0,3.67,2.8,3.17,3.5
,1.25,1.0,1.5,1.6,0.83,0.67
,2.0,2.33,2.17,3.2,2.17,2.33
,3.25,3.0,3.0,3.6,3.17,3.83
,2.0,1.0,1.83,1.2,0.17,0.5
,0.25,0.67,1.5,0.0,0.0,1.0
,3.25,2.33,3.33,3.2,3.17,3.5
,2.75,2.67,1.5,1.6,2.17,2.33
,2.75,2.67,2.5,2.6,3.33,2.67
,2.75,3.0,2.17,2.4,2.83,3.67
,1.75,2.0,1.83,2.6,2.67,3.33
,2.5,2.0,2.0,1.8,1.83,1.67
