mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_scaler,param_svm__C,param_svm__gamma,param_svm__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.10133204460144044,0.02142094055749114,0.017892885208129882,0.002942392208805859,StandardScaler(),0.01,scale,linear,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 'scale', 'svm__kernel': 'linear'}",0.9492017416545718,0.9462209302325582,0.9491279069767442,0.9433139534883721,0.9462209302325582,0.9468170925169609,0.0021913108848067553,129
0.4188797950744629,0.14457009955620906,0.15701656341552733,0.04077483713571523,StandardScaler(),0.01,scale,rbf,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.9375907111756169,0.934593023255814,0.9215116279069767,0.9244186046511628,0.9302325581395349,0.9296693050258211,0.00602372776722602,220
0.10926752090454102,0.023943268897064583,0.021229648590087892,0.009691606649562303,StandardScaler(),0.01,auto,linear,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 'auto', 'svm__kernel': 'linear'}",0.9492017416545718,0.9462209302325582,0.9491279069767442,0.9433139534883721,0.9462209302325582,0.9468170925169609,0.0021913108848067553,129
0.3290252208709717,0.04635877301848935,0.1967324733734131,0.10087786954750207,StandardScaler(),0.01,auto,rbf,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 'auto', 'svm__kernel': 'rbf'}",0.9375907111756169,0.934593023255814,0.9215116279069767,0.9244186046511628,0.9302325581395349,0.9296693050258211,0.00602372776722602,220
0.082098388671875,0.019085779971284418,0.019151020050048827,0.004476049644037637,StandardScaler(),0.01,0.01,linear,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 0.01, 'svm__kernel': 'linear'}",0.9492017416545718,0.9462209302325582,0.9491279069767442,0.9433139534883721,0.9462209302325582,0.9468170925169609,0.0021913108848067553,129
0.32336907386779784,0.0572119167824944,0.15357861518859864,0.07561548393618749,StandardScaler(),0.01,0.01,rbf,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.8447024673439768,0.8517441860465116,0.8415697674418605,0.8430232558139535,0.8459302325581395,0.8453939818408884,0.003502450806187694,248
0.10280218124389648,0.021591091024474887,0.020646190643310545,0.005469569542371514,StandardScaler(),0.01,0.1,linear,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 0.1, 'svm__kernel': 'linear'}",0.9492017416545718,0.9462209302325582,0.9491279069767442,0.9433139534883721,0.9462209302325582,0.9468170925169609,0.0021913108848067553,129
0.40070390701293945,0.0829177940997833,0.12821388244628906,0.005695763873499415,StandardScaler(),0.01,0.1,rbf,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.7866473149492017,0.7790697674418605,0.7645348837209303,0.7848837209302325,0.7659883720930233,0.7762248118270497,0.009307396716518427,250
0.07902960777282715,0.018506486640716833,0.015179252624511719,0.0007005465666403924,StandardScaler(),0.01,0.5,linear,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 0.5, 'svm__kernel': 'linear'}",0.9492017416545718,0.9462209302325582,0.9491279069767442,0.9433139534883721,0.9462209302325582,0.9468170925169609,0.0021913108848067553,129
0.41330876350402834,0.07784482258096785,0.13298516273498534,0.008852875463969291,StandardScaler(),0.01,0.5,rbf,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 0.5, 'svm__kernel': 'rbf'}",0.6894049346879536,0.690406976744186,0.690406976744186,0.688953488372093,0.688953488372093,0.6896251729841024,0.0006592813635577396,259
0.0745964527130127,0.009833053110646684,0.01699385643005371,0.0020960570356649624,StandardScaler(),0.01,1,linear,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 1, 'svm__kernel': 'linear'}",0.9492017416545718,0.9462209302325582,0.9491279069767442,0.9433139534883721,0.9462209302325582,0.9468170925169609,0.0021913108848067553,129
0.4873019218444824,0.05149534882586026,0.18615260124206542,0.018679092991714746,StandardScaler(),0.01,1,rbf,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 1, 'svm__kernel': 'rbf'}",0.6894049346879536,0.690406976744186,0.690406976744186,0.688953488372093,0.688953488372093,0.6896251729841024,0.0006592813635577396,259
0.08667230606079102,0.010644512703207423,0.018361282348632813,0.0014857375198412412,StandardScaler(),0.01,5,linear,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 5, 'svm__kernel': 'linear'}",0.9492017416545718,0.9462209302325582,0.9491279069767442,0.9433139534883721,0.9462209302325582,0.9468170925169609,0.0021913108848067553,129
0.5647053718566895,0.049070130629513174,0.207277250289917,0.01635540325569027,StandardScaler(),0.01,5,rbf,"{'scaler': StandardScaler(), 'svm__C': np.float64(0.01), 'svm__gamma': 5, 'svm__kernel': 'rbf'}",0.6894049346879536,0.690406976744186,0.690406976744186,0.688953488372093,0.688953488372093,0.6896251729841024,0.0006592813635577396,259
