Xếp loại học tập,GPA_1,GPA_2,GPA_3,GPA_4,GPA_5,GPA_6
Giỏi,3.5,3.33,2.17,3.8,3.83,3.67
Khá,2.25,2.33,2.33,3,3,3.17
Giỏi,4,3.33,3,3.6,3.83,3.5
Khá,3,3.67,2.5,3.6,3.17,2.33
Giỏi,3.5,3.33,3.83,3,3.67,3.5
Khá,2.75,2.33,2,2.8,3.67,2.67
Khá,2.5,3.67,2.17,3.4,2.83,2.5
Khá,2.25,2.33,2.5,2.2,3.33,2.17
Giỏi,3.5,3.33,2.33,3.8,3.5,3.67
Khá,3.5,3.67,2,2.4,2.33,1.5
Khá,2,1.67,2.33,2.6,3,2
Chưa Xếp Loại,2.25,2,2.83,3.6,2.83,4
Chưa Xếp Loại,2.5,2,1.67,1.8,2.83,2.5
Chưa Xếp Loại,1.25,2,1.5,2.6,1.33,1.83
Chưa Xếp Loại,1.25,2.33,1.67,1.8,2,0.33
Chưa Xếp Loại,2.25,2,2.17,2.2,2,2.67
Chưa Xếp Loại,2.25,1.67,1.33,1.6,1.33,0
Chưa Xếp Loại,1.5,1.67,1.17,0.8,1.67,0.83
Chưa Xếp Loại,1.75,2.33,1.67,2,2.5,2.83
Chưa Xếp Loại,1.75,2,2,1.2,1,2.33
Chưa Xếp Loại,1.75,2.33,2,2,2.33,2.67
Chưa Xếp Loại,2.5,2.67,2.17,2,1.67,2.67
Chưa Xếp Loại,1.25,1.67,1.67,2.2,1.17,2.17
Chưa Xếp Loại,2.5,0.67,2,2,1.33,0.67
Chưa Xếp Loại,2,2.33,2.17,1.8,2.17,3.5
Chưa Xếp Loại,1.5,1.33,2,1.4,1.67,1.67
Chưa Xếp Loại,2,2.67,2,2.2,1.83,2
Chưa Xếp Loại,1.75,1.33,1.67,1.8,1.67,2
Chưa Xếp Loại,2.25,1.33,2.17,1.8,2,2.17
Chưa Xếp Loại,1.25,1.67,1.5,1.4,1.67,2.33
Chưa Xếp Loại,1.75,2.33,2.67,1.8,2,2.33
Chưa Xếp Loại,2.75,3,2.33,2.4,2,2.17
Chưa Xếp Loại,2.5,2.67,2.33,2.4,2,2.67
Chưa Xếp Loại,0.75,0.33,1.5,0,1,1.5
Chưa Xếp Loại,1.5,1.33,1.83,1.8,1.33,2.33
Chưa Xếp Loại,1.75,3,2.17,2.4,1.67,2.67
Chưa Xếp Loại,2.75,3.67,2,3,1.83,2.83
Chưa Xếp Loại,2.75,2,3,2.4,1.17,2.17
Chưa Xếp Loại,1.25,2.33,1.17,1.8,1.33,2.17
Chưa Xếp Loại,2.25,3.67,2.67,3.2,2.17,2.83
Chưa Xếp Loại,2.25,3,1.33,0.8,1.33,1
Chưa Xếp Loại,1,2,1.17,1.6,0,0.67
