KT1,KT2,KT3,KT_TB,BC,Bonus,QT_x,QT_y,CK,HP_grade
6.5,7.0,3.75,5.75,8.25,0.25,7.25,7.5,6.0,6.5
6.33,6.67,4.0,5.67,5.0,0.0,5.34,5.5,9.0,8.0
6.17,6.0,5.75,5.97,5.38,0.25,5.93,6.0,8.5,7.8
5.67,2.5,6.5,4.89,6.0,0.0,5.45,5.5,4.5,4.8
7.5,6.83,6.75,7.03,7.5,0.0,7.27,7.5,8.5,8.2
6.28,4.5,6.63,5.8,8.63,1.0,8.22,8.0,8.0,8.0
6.33,7.0,6.0,6.44,7.0,0.0,6.72,6.5,6.5,6.5
8.33,7.0,6.13,7.15,8.0,0.0,7.58,7.5,5.5,6.1
6.44,1.25,3.13,3.61,8.0,0.0,5.81,6.0,7.5,7.1
4.56,8.33,5.25,6.05,7.0,0.0,7.28,7.5,6.5,6.8
6.78,5.67,4.0,5.48,6.0,0.0,5.99,6.0,7.5,7.1
7.33,8.0,6.75,7.36,7.5,0.0,7.43,7.5,5.5,6.1
8.67,8.67,4.0,7.11,7.0,0.0,8.06,8.0,9.5,9.1
6.33,8.0,6.0,6.78,8.0,0.0,7.52,7.5,5.5,6.1
7.67,8.0,6.25,7.31,9.5,0.0,9.03,9.0,8.5,8.6
5.44,6.67,3.5,5.2,6.5,0.0,5.85,6.0,6.0,6.0
9.44,,5.75,7.6,6.5,0.0,7.18,7.0,9.0,8.4
6.56,9.0,6.5,7.35,7.0,0.0,7.43,7.5,6.5,6.8
8.11,4.75,3.75,5.54,6.5,0.0,6.02,6.0,9.5,8.5
6.67,8.33,4.38,6.46,8.5,0.0,8.36,8.5,9.0,8.9
8.0,4.67,6.25,6.31,7.0,0.0,6.78,7.0,8.0,7.7
7.33,7.33,5.25,6.64,8.5,0.0,7.7,7.5,7.5,7.5
5.67,4.33,4.25,4.75,6.5,0.0,5.75,6.0,6.5,6.4
7.67,4.33,6.5,6.17,7.5,0.0,6.84,7.0,8.0,7.7
9.0,8.33,5.75,7.69,8.0,0.0,7.97,8.0,8.5,8.4
7.56,4.0,4.75,5.44,9.5,0.0,7.47,7.5,7.5,7.5
8.56,7.67,4.0,6.74,7.0,0.0,7.12,7.0,8.0,7.7
8.56,8.33,6.88,7.92,6.75,0.0,7.46,7.5,8.0,7.9
8.22,3.33,4.25,5.27,6.5,0.0,5.89,6.0,7.0,6.7
7.67,6.33,,4.67,6.75,0.0,5.71,5.5,9.0,8.0
6.33,6.33,3.88,5.51,6.5,0.0,6.01,6.0,5.0,5.3
6.11,8.0,5.75,6.62,7.5,0.0,7.06,7.0,7.5,7.4
7.0,7.33,4.5,6.28,6.0,0.0,6.14,6.0,5.0,5.3
8.33,4.67,8.75,7.25,7.0,0.0,7.25,7.5,7.0,7.2
8.67,9.0,6.25,7.97,8.5,0.0,8.61,8.5,7.5,7.8
7.67,5.67,8.0,7.11,6.5,0.0,7.18,7.0,8.5,8.1
8.67,6.33,7.75,7.58,8.5,0.0,8.04,8.0,8.0,8.0
5.0,7.67,6.5,6.39,8.5,0.0,7.45,7.5,6.5,6.8
6.89,8.67,5.0,6.85,7.0,0.0,6.93,7.0,7.0,7.0
7.89,5.0,5.25,6.05,7.0,0.0,6.65,6.5,8.5,7.9
8.67,3.67,4.75,5.7,7.5,0.0,6.6,6.5,9.0,8.3
